interneuron_id,neuron_name,cluster,function,is_hub,degree_centrality,betweenness_centrality,n_target_mns,total_mn_synapses,avg_mn_synapses,n_input_dns,total_dn_synapses,avg_dn_synapses,hub_score,cluster_score,dn_input_score,mn_output_score,composite_score,rank
720575941524114276,IN06B013,2,power_control,True,0.3742911153119093,0.19615096997033707,10,448,44.8,0,0,0.0,100.0,100,0.0,53.23232323232323,65.64646464646465,1
720575941511393233,IN06B013,2,power_control,True,0.3742911153119093,0.19615096997033707,8,400,50.0,0,0,0.0,100.0,100,0.0,44.94949494949495,63.98989898989899,2
720575941623108298,IN13A013,2,power_control,True,0.14744801512287334,0.03843022350069797,7,474,67.71428571428571,10,313,31.3,29.493052659625853,100,60.55072463768116,46.37626262626263,58.26084948256057,3
720575941564147346,IN19B043,1,power_control,True,0.22684310018903592,0.008006921988873579,18,678,37.666666666666664,0,0,0.0,32.34404034495985,100,0.0,88.52272727272728,52.40775755803341,4
720575941671138727,IN13A013,2,power_control,True,0.13799621928166353,0.02452871271762882,7,403,57.57142857142857,7,228,32.57142857142857,24.68685208146819,100,43.15942028985507,42.34217171717172,51.66434504033857,5
720575941415476252,IN06B052,1,power_control,True,0.21172022684310018,0.17743703674462435,4,137,34.25,0,0,0.0,73.5125400633658,100,0.0,18.89520202020202,50.83280242305014,6
720575941511275986,IN19B008,5,steering_control,True,0.277882797731569,0.06649807405036576,12,771,64.25,0,0,0.0,54.07195013194485,75,0.0,77.1401515151515,50.39961534261376,7
720575941575681718,IN19B008,5,steering_control,True,0.22684310018903592,0.039408628856836256,13,880,67.6923076923077,1,32,32.0,40.348514366350464,75,6.115942028985508,86.11111111111111,49.605762039373744,8
720575941669049587,IN19B043,1,power_control,True,0.22117202268431002,0.0060582602921336074,14,654,46.714285714285715,0,0,0.0,31.089739616553032,100,0.0,76.04797979797979,49.53651784456187,9
720575941594160421,IN19B043,1,power_control,True,0.21739130434782608,0.005439132768490854,13,524,40.30769230769231,0,0,0.0,30.42686997766486,100,0.0,65.88383838383838,47.30482867006713,10
720575941572251144,w-cHIN,5,steering_control,True,0.05671077504725898,0.0,1,25,25.0,15,575,38.333333333333336,7.575757575757576,75,100.0,4.1982323232323235,46.86237373737374,11
720575941608991050,w-cHIN,3,power_control,True,0.07561436672967864,0.0037162742739302286,2,60,30.0,10,371,37.1,11.048309590401415,100,65.59420289855072,8.964646464646464,46.505972894687396,12
720575941554049307,IN19B043,1,power_control,True,0.19848771266540643,0.0041715904811521366,11,545,49.54545454545455,0,0,0.0,27.57851370035585,100,0.0,61.52146464646465,45.577847039399686,13
720575941516099500,IN19B043,1,power_control,True,0.2060491493383743,0.004431330039019581,10,439,43.9,0,0,0.0,28.654823803867593,100,0.0,52.7209595959596,44.1406390603522,14
720575941637958687,IN19B067,1,power_control,True,0.2060491493383743,0.003042667649605692,10,426,42.6,0,0,0.0,28.300845847596488,100,0.0,51.98232323232323,43.88671840074359,15
720575941407795118,IN19B067,1,power_control,True,0.2060491493383743,0.003042667649605692,10,339,33.9,0,0,0.0,28.300845847596488,100,0.0,47.03914141414141,42.89808203710723,16
720575941402032240,IN19B043,1,power_control,True,0.2003780718336484,0.0024351863238971133,10,355,35.5,0,0,0.0,27.388419638401643,100,0.0,47.94823232323232,42.806172356166954,17
720575941518434227,IN19B043,1,power_control,True,0.16068052930056712,0.0033237611395582596,9,490,54.44444444444444,0,0,0.0,22.311892119373763,100,0.0,52.84090909090909,42.26174945399395,18
720575941618008447,IN19B067,1,power_control,True,0.20226843100189038,0.0029537610491432156,9,337,37.44444444444444,0,0,0.0,27.77313254345916,100,0.0,44.14772727272727,42.1614852175832,19
720575941519213016,IN01A020,1,power_control,True,0.18714555765595464,0.0027196507223185627,9,357,39.666666666666664,0,0,0.0,25.693254466885847,100,0.0,45.28409090909091,41.764794521883935,20
720575941543315205,IN19B089,4,power_control,True,0.10396975425330814,0.13763391585515028,2,68,34.0,0,0,0.0,48.97255833899764,100,0.0,9.419191919191919,41.57560588553767,21
720575941561308818,IN19B043,1,power_control,True,0.19848771266540643,0.0024754264920296455,8,350,43.75,0,0,0.0,27.14615183403956,100,0.0,42.108585858585855,41.565562721929034,22
720575941603749817,INXXX095,2,power_control,True,0.13610586011342155,0.10855063277643975,2,93,46.5,0,0,0.0,45.851993045815874,100,0.0,10.839646464646464,40.92352720667406,23
720575941465484566,w-cHIN,3,power_control,True,0.09073724007561437,0.0,1,37,37.0,7,247,35.285714285714285,12.121212121212121,100,44.81159420289855,4.880050505050505,40.81527228809838,24
720575941512896099,IN01A020,1,power_control,True,0.1720226843100189,0.0023726589841671316,8,377,47.125,0,0,0.0,23.58460227531738,100,0.0,43.64267676767677,40.80391603613057,25
720575941515619939,IN19B043,1,power_control,True,0.17958412098298676,0.003766079507438987,8,267,33.375,0,0,0.0,24.94989411712383,100,0.0,37.39267676767677,39.9635035886725,26
720575941457147206,IN18B020,5,steering_control,True,0.166351606805293,0.009385307861889819,4,163,40.75,6,206,34.333333333333336,24.614590677832997,75,37.913043478260875,20.372474747474747,39.687133022410066,27
720575941503451301,w-cHIN,3,power_control,True,0.06805293005671077,0.0,1,44,44.0,7,231,33.0,9.09090909090909,100,43.42028985507246,5.277777777777778,39.6379007465964,28
720575941583601886,IN12A012,5,steering_control,True,0.09262759924385633,0.030505220894991733,6,251,41.833333333333336,5,201,40.2,20.14969201204604,75,34.14492753623188,30.9280303030303,39.51674554827785,29
720575941547177076,IN06A022,3,power_control,True,0.22306238185255198,0.011173274691326137,4,150,37.5,0,0,0.0,32.64611118703584,100,0.0,19.63383838383838,38.72060103287843,30
720575941581685113,IN19B075,1,power_control,True,0.19281663516068054,0.002082379625910355,6,202,33.666666666666664,0,0,0.0,26.288386190535956,100,0.0,28.14393939393939,38.51530373594866,31
720575941652536593,IN19B067,1,power_control,True,0.1890359168241966,0.0024203788082071092,6,166,27.666666666666668,0,0,0.0,25.869493603121,100,0.0,26.098484848484844,37.98054505063327,32
720575941579868917,IN03B022,5,steering_control,True,0.054820415879017016,0.0,2,79,39.5,8,373,46.625,7.3232323232323235,75,59.10144927536231,10.044191919191919,37.731170399648654,33
720575941431099567,IN12A006,2,power_control,True,0.12098298676748583,0.06171235034656585,2,116,58.0,0,0,0.0,31.89244592909024,100,0.0,12.146464646464645,36.99702670802,34
720575941457802480,IN12B015,5,steering_control,True,0.05671077504725898,0.0,1,26,26.0,8,379,47.375,7.575757575757576,75,59.62318840579711,4.255050505050505,36.77953447518665,35
720575941553338778,IN12A012,5,steering_control,True,0.09640831758034027,0.03352428159029148,5,201,40.2,4,146,36.5,21.424318292265106,75,26.02898550724638,25.309343434343436,36.74641055135981,36
720575941543397737,IN06B066,1,power_control,True,0.11153119092627599,0.00035114852256937196,5,253,50.6,1,27,27.0,14.988499658391667,100,5.681159420289855,28.263888888888886,36.56961753036774,37
720575941477897346,IN19B040,1,power_control,True,0.14177693761814744,0.001351818410379256,6,204,34.0,0,0,0.0,19.283980155455904,100,0.0,28.257575757575754,36.436709198151924,38
720575941449258106,IN17A035,2,power_control,True,0.15879017013232516,0.02992572221716616,3,98,32.666666666666664,0,0,0.0,28.84035833521361,100,0.0,13.90151515151515,36.43241053086712,39
720575941484346621,dMS5,5,steering_control,True,0.2457466918714556,0.01599969760962891,7,234,33.42857142857143,0,0,0.0,36.90669692229635,75,0.0,32.73989898989899,36.3699888746687,40
720575941569376250,IN17A035,2,power_control,True,0.17391304347826086,0.026258671594120094,2,105,52.5,0,0,0.0,29.925808255132715,100,0.0,11.521464646464647,36.282035405832744,41
720575941460235152,IN19B043,1,power_control,True,0.13232514177693763,0.0003193254568347274,5,276,55.2,0,0,0.0,17.758165555371853,100,0.0,29.570707070707073,36.24159108075297,42
720575941456348575,IN18B020,5,steering_control,True,0.1172022684310019,0.004842711831411545,3,148,49.333333333333336,5,218,43.6,16.891000498295956,75,35.6231884057971,16.742424242424242,36.07158209942291,43
720575941641473874,IN03B069,2,power_control,True,0.1001890359168242,0.05465930572263276,3,98,32.666666666666664,0,0,0.0,27.31680688531931,100,0.0,13.90151515151515,35.975345095898824,44
720575941614919893,IN17A071,1,power_control,True,0.13232514177693763,0.0003193254568347274,5,249,49.8,0,0,0.0,17.758165555371853,100,0.0,28.036616161616163,35.93477289893479,45
720575941551389979,IN19B043,1,power_control,True,0.17958412098298676,0.0019163450037036618,4,117,29.25,0,0,0.0,24.478386251520348,100,0.0,17.758838383838384,35.89528355222378,46
720575941537594573,IN17A071,1,power_control,True,0.13232514177693763,0.0003193254568347274,5,237,47.4,0,0,0.0,17.758165555371853,100,0.0,27.35479797979798,35.798409262571155,47
720575941459883846,IN06B066,1,power_control,True,0.13232514177693763,0.0003193254568347274,5,232,46.4,0,0,0.0,17.758165555371853,100,0.0,27.07070707070707,35.74159108075297,48
720575941457431280,IN17A029,2,power_control,True,0.13988657844990549,0.0409533801771208,2,72,36.0,0,0,0.0,29.126118664402313,100,0.0,9.646464646464647,35.66712852861362,49
720575941527833016,IN19B067,1,power_control,True,0.13232514177693763,0.0003193254568347274,5,198,39.6,0,0,0.0,17.758165555371853,100,0.0,25.13888888888889,35.355227444389335,50
