group_id,group_size,target_mn,groupwise_synapses,group_neurons
4.0,2.0,720575941463144336,122,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941479034563,173,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941507955269,104,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941533190337,140,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941583644382,118,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941596050112,136,"[7.205759414020323e+17, 7.205759415941604e+17]"
4.0,2.0,720575941645403000,123,"[7.205759414020323e+17, 7.205759415941604e+17]"
10.0,2.0,720575941463144336,103,"[7.205759414077951e+17, 7.2057594151562e+17]"
10.0,2.0,720575941479034563,118,"[7.205759414077951e+17, 7.2057594151562e+17]"
10.0,2.0,720575941507955269,121,"[7.205759414077951e+17, 7.2057594151562e+17]"
10.0,2.0,720575941533190337,100,"[7.205759414077951e+17, 7.2057594151562e+17]"
10.0,2.0,720575941645403000,126,"[7.205759414077951e+17, 7.2057594151562e+17]"
38.0,2.0,720575941624155644,171,"[7.205759414334067e+17, 7.205759414387483e+17]"
47.0,2.0,720575941596050112,152,"[7.205759414376037e+17, 7.205759415516328e+17]"
54.0,2.0,720575941519783640,116,"[7.205759414387299e+17, 7.205759416056027e+17]"
54.0,2.0,720575941534583786,143,"[7.205759414387299e+17, 7.205759416056027e+17]"
55.0,2.0,720575941624155644,126,"[7.205759414389352e+17, 7.205759414334067e+17]"
62.0,2.0,720575941596050112,103,"[7.205759414453116e+17, 7.205759414376037e+17]"
75.0,2.0,720575941489673420,255,"[7.205759414521987e+17, 7.205759414793693e+17]"
76.0,2.0,720575941489673420,248,"[7.205759414521994e+17, 7.205759414521987e+17]"
85.0,2.0,720575941643100754,121,"[7.205759414563409e+17, 7.205759415534792e+17]"
87.0,2.0,720575941549822781,123,"[7.205759414570735e+17, 7.205759414887329e+17]"
90.0,2.0,720575941629172716,186,"[7.20575941457979e+17, 7.205759415168421e+17]"
97.0,2.0,720575941474574132,127,"[7.205759414595145e+17, 7.205759415362943e+17]"
98.0,2.0,720575941463144336,151,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941479034563,190,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941533190337,215,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941583644382,151,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941596050112,137,"[7.205759414602351e+17, 7.205759415540493e+17]"
98.0,2.0,720575941645403000,123,"[7.205759414602351e+17, 7.205759415540493e+17]"
